"State","StateGroups"
"california","West"
"nevada","West"
"oregon","West"
"washington","West"
"idaho","West"
"montana","West"
"wyoming","West"
"colorado","West"
"utah","West"
"hawaii","West"
"alaska","West"
"north dakota","Midwest"
"south dakota","Midwest"
"nebraska","Midwest"
"kansas","Midwest"
"missouri","Midwest"
"iowa","Midwest"
"minnesota","Midwest"
"wisconsin","Midwest"
"michigan","Midwest"
"illinois","Midwest"
"indiana","Midwest"
"ohio","Midwest"
"arizona","Southwest"
"new mexico","Southwest"
"texas","Southwest"
"oklahoma","Southwest"
"virginia","South"
"west virginia","South"
"kentucky","South"
"tennessee","South"
"north carolina","South"
"south carolina","South"
"florida","South"
"georgia","South"
"alabama","South"
"mississippi","South"
"louisiana","South"
"arkansas","South"
"maine","Northeast"
"new hampshire","Northeast"
"vermont","Northeast"
"massachusetts","Northeast"
"new york","Northeast"
"rhode island","Northeast"
"connecticut","Northeast"
"new jersey","Northeast"
"pennsylvania","Northeast"
"delaware","Northeast"
"maryland","Northeast"
